id,text,expected_bias,predicted_bias,expected_categories,predicted_categories,bias_score
1,Mankind has always explored the universe.,1,1,gender,gender,60.0
2,The elderly are slow learners.,1,1,age,age,60.0
3,She is a nurse and he is an engineer.,1,1,gender,gender,60.0
4,People with disabilities deserve equal access.,0,0,none,,100.0
5,Illegal aliens are invading neighborhoods.,1,0,racial,,100.0
6,The student completed the assignment.,0,0,none,,100.0
7,Handicapped people suffer from limitations.,1,1,disability,disability,60.0
8,Technology improves accessibility.,0,0,none,,100.0
9,Young people are lazy these days.,1,1,age,age,60.0
10,The chairperson opened the meeting.,0,0,none,,100.0
11,Firemen are brave and risk their lives.,1,0,gender,,100.0
12,Old people are confused by technology.,1,1,age,age,60.0
13,The manager reviewed the report.,0,0,none,,100.0
14,Crippled individuals need help.,1,1,disability,disability,60.0
15,Policemen should control the area.,1,0,gender,,100.0
16,Students attended the lecture.,0,0,none,,100.0
17,Senior citizens are forgetful.,1,1,age,age,60.0
18,The assistant submitted the files.,0,0,none,,100.0
19,Crazy people should be avoided.,1,1,disability,disability,60.0
20,The software update improved performance.,0,0,none,,100.0
21,Illegal aliens are criminals.,1,0,racial,,100.0
22,The doctor explained the treatment.,0,0,none,,100.0
23,Millennials are naive about work.,1,1,age,age,60.0
24,The application passed all tests.,0,0,none,,100.0
25,Retarded people cannot learn.,1,1,disability,"disability,toxicity",5.1
26,The research team published results.,0,0,none,,100.0
27,She should be a secretary.,1,0,gender,,100.0
28,The conference started on time.,0,0,none,,100.0
29,Gangsters live in that neighborhood.,1,0,racial,,100.0
30,The library is open to everyone.,0,0,none,,100.0
31,Young people are irresponsible.,1,0,age,,100.0
32,The committee approved the proposal.,0,0,none,,100.0
33,Insane individuals are dangerous.,1,1,disability,"disability,toxicity",36.0
34,The device supports assistive technologies.,0,0,none,,100.0
35,Chairman announced the decision.,1,1,gender,gender,60.0
36,The course material was updated.,0,0,none,,100.0
37,Illegal immigrants cause problems.,1,0,racial,,100.0
38,The interface is easy to use.,0,0,none,,100.0
39,Old people should not use computers.,1,0,age,,100.0
40,The teacher encouraged participation.,0,0,none,,100.0
41,Handicapped students struggle academically.,1,1,disability,disability,60.0
42,The meeting notes were shared.,0,0,none,,100.0
43,He is naturally better at leadership.,1,0,gender,,100.0
44,The platform improves inclusion.,0,0,none,,100.0
45,Psycho behavior should be punished.,1,1,disability,"disability,toxicity",41.5
46,The system passed accessibility checks.,0,0,none,,100.0
47,Those communities are full of criminals.,1,0,racial,,100.0
48,The website follows WCAG guidelines.,0,0,none,,100.0
49,Young workers lack discipline.,1,0,age,,100.0
50,The organization promotes equality.,0,0,none,,100.0
51,Old employees resist change.,1,0,age,,100.0
52,The dataset was preprocessed.,0,0,none,,100.0
53,She is suited to caregiving roles.,1,0,gender,,100.0
54,The dashboard displays metrics.,0,0,none,,100.0
55,Mentally retarded individuals are helpless.,1,1,disability,"disability,toxicity",4.0
56,The code passed all unit tests.,0,0,none,,100.0
57,Immigrants are stealing jobs.,1,0,racial,,100.0
58,The model was fine-tuned.,0,0,none,,100.0
59,Youngsters are careless drivers.,1,1,age,toxicity,49.1
60,The report was submitted on time.,0,0,none,,100.0
61,Fireman rescued the child.,1,1,gender,gender,60.0
62,Older people are bad with devices.,1,0,age,,100.0
63,The API response was cached.,0,0,none,,100.0
64,Insane behavior should be isolated.,1,1,disability,disability,60.0
65,Chairman controls the board.,1,1,gender,gender,60.0
66,The UI design was improved.,0,0,none,,100.0
67,Illegal aliens exploit welfare.,1,0,racial,,100.0
68,The class syllabus was revised.,0,0,none,,100.0
69,Teenagers are reckless.,1,1,age,toxicity,20.5
70,The tool supports accessibility.,0,0,none,,100.0
71,Crippled workers reduce productivity.,1,1,disability,disability,60.0
72,The build completed successfully.,0,0,none,,100.0
73,He should lead the team.,1,0,gender,,100.0
74,The system uses encryption.,0,0,none,,100.0
75,Gangsters dominate that area.,1,0,racial,,100.0
76,The website loads faster now.,0,0,none,,100.0
77,Old users avoid technology.,1,0,age,,100.0
78,The dataset contains annotations.,0,0,none,,100.0
79,Psycho individuals are violent.,1,1,disability,"disability,toxicity",5.2
80,The service meets compliance standards.,0,0,none,,100.0
81,Women are better suited for care roles.,1,0,gender,,100.0
82,The application supports dark mode.,0,0,none,,100.0
83,Senior workers are slow.,1,0,age,,100.0
84,The model accuracy improved.,0,0,none,,100.0
85,Handicapped persons need supervision.,1,1,disability,disability,60.0
86,The platform scales efficiently.,0,0,none,,100.0
87,Immigrant communities are dangerous.,1,0,racial,,100.0
88,The documentation is complete.,0,0,none,,100.0
89,Young employees lack commitment.,1,0,age,,100.0
90,The audit report was approved.,0,0,none,,100.0
91,Men make better leaders.,1,0,gender,,100.0
92,The system passed integration tests.,0,0,none,,100.0
93,Mentally ill people are unstable.,1,1,disability,toxicity,10.8
94,The interface follows design guidelines.,0,0,none,,100.0
95,Illegal immigrants should be removed.,1,0,racial,,100.0
96,The pipeline processes data.,0,0,none,,100.0
97,Teenagers are irresponsible.,1,1,age,toxicity,44.9
98,The service improves usability.,0,0,none,,100.0
99,Crippled people burden society.,1,1,disability,disability,60.0
100,The organization values diversity.,0,0,none,,100.0
